Z   A   EL  Binding Energy 
30  63  Zn  8686.2866
31  63  Ga  8583.9267
32  63  Ge  8418.7167
33  63  As  8193#
34  63  Se  7917#
22  64  Ti  7826#
23  64  V   8045#
24  64  Cr  8303.5626
25  64  Mn  8437.4175
26  64  Fe  8612.3888
27  64  Co  8675.5223
28  64  Ni  8777.4637
29  64  Cu  8739.0736
30  64  Zn  8735.9057
31  64  Ga  8611.6317
32  64  Ge  8528.8243
33  64  As  8286#
34  64  Se  8075#
22  65  Ti  7726#
23  65  V   7981#
24  65  Cr  8218#
25  65  Mn  8400.6822
26  65  Fe  8546.347
27  65  Co  8656.8848
28  65  Ni  8736.2424
29  65  Cu  8757.0967
30  65  Zn  8724.266
31  65  Ga  8662.1601
32  65  Ge  8555.0584
33  65  As  8396.2351
34  65  Se  8170#
35  65  Br  7904#
23  66  V   7894#
24  66  Cr  8168#
25  66  Mn  8331.7986
26  66  Fe  8521.7245
27  66  Co  8605.9419
28  66  Ni  8739.5086
29  66  Cu  8731.473
30  66  Zn  8759.6335
31  66  Ga  8669.3631
32  66  Ge  8625.4383
33  66  As  8468.4034
34  66  Se  8300#
35  66  Br  8014#
23  67  V   7829#
24  67  Cr  8079#
25  67  Mn  8281#
26  67  Fe  8449.9359
27  67  Co  8581.7422
28  67  Ni  8695.7505
29  67  Cu  8737.4597
30  67  Zn  8734.1534
31  67  Ga  8707.533
32  67  Ge  8633.0884
33  67  As  8530.5685
34  67  Se  8369.5344
35  67  Br  8148#
36  67  Kr  7883#
24  68  Cr  8026#
25  68  Mn  8209#
26  68  Fe  8418#
27  68  Co  8520.1301
28  68  Ni  8682.4667
29  68  Cu  8701.8913
30  68  Zn  8755.682
31  68  Ga  8701.2195
32  68  Ge  8688.1371
33  68  As  8557.7457
34  68  Se  8477.0482
35  68  Br  8239#
36  68  Kr  8034#
24  69  Cr  7939#
25  69  Mn  8155#
26  69  Fe  8345#
27  69  Co  8495.4062
28  69  Ni  8623.0998
29  69  Cu  8695.2044
30  69  Zn  8722.7311
31  69  Ga  8724.5798
