Z   A   EL  Binding Energy 
67  161 Ho  8163.1134
68  161 Er  8145.8628
69  161 Tm  8120.4906
70  161 Yb  8090.3861
71  161 Lu  8052.7821
72  161 Hf  8009.1245
73  161 Ta  7957.45
74  161 W   7901#
75  161 Re  7836.3292
76  161 Os  7765#
60  162 Nd  8022#
61  162 Pm  8061#
62  162 Sm  8107.5745
63  162 Eu  8129.5593
64  162 Gd  8159.0373
65  162 Tb  8164.0773
66  162 Dy  8173.4555
67  162 Ho  8155.4126
68  162 Er  8152.3959
69  162 Tm  8117.5868
70  162 Yb  8102.5333
71  162 Lu  8054.5596
72  162 Hf  8027.1171
73  162 Ta  7964.3432
74  162 W   7923.8214
75  162 Re  7848#
76  162 Os  7794#
60  163 Nd  7992#
61  163 Pm  8042#
62  163 Sm  8084.1653
63  163 Eu  8116.0172
64  163 Gd  8140.756
65  163 Tb  8155.6322
66  163 Dy  8161.784
67  163 Ho  8156.967
68  163 Er  8144.7403
69  163 Tm  8124.9774
70  163 Yb  8099.1069
71  163 Lu  8066.6848
72  163 Hf  8028.0072
73  163 Ta  7981.8905
74  163 W   7930.3043
75  163 Re  7870.8655
76  163 Os  7807#
77  163 Ir  7734#
61  164 Pm  8014#
62  164 Sm  8067.7803
63  164 Eu  8095.3686
64  164 Gd  8129.9978
65  164 Tb  8139.9304
66  164 Dy  8158.7129
67  164 Ho  8147.9234
68  164 Er  8149.0191
69  164 Tm  8119.6534
70  164 Yb  8109.4149
71  164 Lu  8065.8043
72  164 Hf  8043.8142
73  164 Ta  7986.9978
74  164 W   7951.4515
75  164 Re  7881.0523
76  164 Os  7833.308
77  164 Ir  7750#
61  165 Pm  7992#
62  165 Sm  8041#
63  165 Eu  8080.0529
64  165 Gd  8110.4428
65  165 Tb  8130.3259
66  165 Dy  8143.9083
67  165 Ho  8146.9591
68  165 Er  8139.9348
69  165 Tm  8125.5489
70  165 Yb  8104.8399
71  165 Lu  8076.746
72  165 Hf  8042.8728
73  165 Ta  8003.0547
74  165 W   7955.9704
75  165 Re  7901.5201
76  165 Os  7843#
77  165 Ir  7776#
78  165 Pt  7703#
62  166 Sm  8023#
63  166 Eu  8056#
64  166 Gd  8097.226
65  166 Tb  8113.223
66  166 Dy  8137.2793
67  166 Ho  8135.4933
68  166 Er  8141.9479
69  166 Tm  8118.9357
70  166 Yb  8112.4591
71  166 Lu  8074.1756
72  166 Hf  8056.4386
73  166 Ta  8004.9714
74  166 W   7974.8951
75  166 Re  7909.6392
76  166 Os  7866.3371
77  166 Ir  7789#
78  166 Pt  7733#
62  167 Sm  7992#
63  167 Eu  8038#
64  167 Gd  8075.5428
65  167 Tb  8101.441
66  167 Dy  8120.8782
67  167 Ho  8130.3732
68  167 Er  8131.7352
69  167 Tm  8122.5826
70  167 Yb  8106.202
71  167 Lu  8083.1722
72  167 Hf  8054.185
73  167 Ta  8018.8614
74  167 W   7976.7045
75  167 Re  7929#
76  167 Os  7873.9557
77  167 Ir  7812.8254
78  167 Pt  7746#
62  168 Sm  7971#
63  168 Eu  8012#
64  168 Gd  8060#
65  168 Tb  8082.798
66  168 Dy  8112.5293
67  168 Ho  8116.8061
68  168 Er  8129.5897
69  168 Tm  8114.9516
70  168 Yb  8111.887
71  168 Lu  8080.4026
72  168 Hf  8065.5536
73  168 Ta  8019.4287
74  168 W   7993.9327
75  168 Re  7935.1208
76  168 Os  7895.9408
77  168 Ir  7823.8509
78  168 Pt  7773.6217
79  168 Au  7688#
63  169 Eu  7991#
64  169 Gd  8035#
65  169 Tb  8069#
66  169 Dy  8094.7566
67  169 Ho  8109.0622
68  169 Er  8117.0078
69  169 Tm  8114.4702
70  169 Yb  8104.5206
71  169 Lu  8086.3233
72  169 Hf  8061.7791
73  169 Ta  8030.9577
74  169 W   7994.5381
75  169 Re  7951.3963
76  169 Os  7901.2862
77  169 Ir  7845.5944
78  169 Pt  7784#
79  169 Au  7716#
63  170 Eu  7963#
64  170 Gd  8017#
65  170 Tb  8047#
66  170 Dy  8084#
67  170 Ho  8093.7902
68  170 Er  8111.9529
69  170 Tm  8105.5144
70  170 Yb  8106.6101
71  170 Lu  8081.6686
72  170 Hf  8070.8762
73  170 Ta  8030.2965
74  170 W   8008.9482
75  170 Re  7955.012
76  170 Os  7921.1258
77  170 Ir  7853#
78  170 Pt  7808.2365
79  170 Au  7730#
80  170 Hg  7671#
64  171 Gd  7990#
65  171 Tb  8030#
66  171 Dy  8062#
67  171 Ho  8083.6021
68  171 Er  8097.7404
69  171 Tm  8101.8931
70  171 Yb  8097.8826
71  171 Lu  8084.6621
72  171 Hf  8066.0687
73  171 Ta  8039.7914
74  171 W   8008.1158
75  171 Re  7969.4131
76  171 Os  7924.1769
77  171 Ir  7873.4895
78  171 Pt  7816.6017
79  171 Au  7754.1069
80  171 Hg  7686#
64  172 Gd  7972#
65  172 Tb  8006#
66  172 Dy  8049#
67  172 Ho  8066#
68  172 Er  8090.4052
69  172 Tm  8091.0367
70  172 Yb  8097.4295
71  172 Lu  8078.2334
72  172 Hf  8071.7439
73  172 Ta  8037.7056
74  172 W   8020.1757
75  172 Re  7971.846
76  172 Os  7942.1626
77  172 Ir  7880.2637
78  172 Pt  7839.246
79  172 Au  7766.1587
80  172 Hg  7713.6064
65  173 Tb  7988#
66  173 Dy  8026#
67  173 Ho  8054#
68  173 Er  8074#
69  173 Tm  8084.4633
70  173 Yb  8087.4276
71  173 Lu  8079.0312
72  173 Hf  8066.0164
73  173 Ta  8044.065
74  173 W   8018.3337
75  173 Re  7983.9068
76  173 Os  7944.0341
77  173 Ir  7898.068
78  173 Pt  7845.3856
79  173 Au  7788.2348
80  173 Hg  7725#
65  174 Tb  7963#
66  174 Dy  8011#
67  174 Ho  8034#
68  174 Er  8064#
69  174 Tm  8070.6432
70  174 Yb  8083.8481
71  174 Lu  8071.454
72  174 Hf  8068.5341
73  174 Ta  8040.4528
74  174 W   8027.2572
75  174 Re  7985.0944
76  174 Os  7959.4618
77  174 Ir  7902.0377
78  174 Pt  7866.1143
79  174 Au  7797#
80  174 Hg  7749.7851
66  175 Dy  7986#
67  175 Ho  8019#
68  175 Er  8045#
69  175 Tm  8061.7673
70  175 Yb  8070.9253
71  175 Lu  8069.1412
72  175 Hf  8060.7625
73  175 Ta  8044.4456
74  175 W   8024.113
75  175 Re  7994.8168
76  175 Os  7960.7294
77  175 Ir  7917.9112
78  175 Pt  7869.5216
79  175 Au  7817.5939
80  175 Hg  7759.2134
66  176 Dy  7969#
67  176 Ho  7997#
68  176 Er  8034#
69  176 Tm  8045.1214
70  176 Yb  8064.0853
71  176 Lu  8059.0209
72  176 Hf  8061.3604
73  176 Ta  8038.6706
74  176 W   8030.1131
75  176 Re  7993.9707
76  176 Os  7972.8681
77  176 Ir  7921.5522
78  176 Pt  7888.9934
79  176 Au  7825.3837
80  176 Hg  7782.664
81  176 Tl  7707.9383
67  177 Ho  7980#
68  177 Er  8013#
69  177 Tm  8035#
70  177 Yb  8049.9741
71  177 Lu  8053.4495
72  177 Hf  8051.8365
73  177 Ta  8040.8289
74  177 W   8025.0359
75  177 Re  8001.2229
76  177 Os  7972.4371
77  177 Ir  7934.6328
78  177 Pt  7892.4896
79  177 Au  7843.8623
80  177 Hg  7789.8947
81  177 Tl  7732.1655
67  178 Ho  7957#
68  178 Er  7999#
69  178 Tm  8017#
70  178 Yb  8042.7386
71  178 Lu  8042.0554
72  178 Hf  8049.4438
73  178 Ta  8035#
74  178 W   8029.2584
75  178 Re  7998.1576
76  178 Os  7981.9128
77  178 Ir  7936.563
78  178 Pt  7908.253
79  178 Au  7849.3946
80  178 Hg  7811.3607
81  178 Tl  7741#
82  178 Pb  7690.8359
68  179 Er  7976#
69  179 Tm  8004#
70  179 Yb  8026#
71  179 Lu  8035.0744
72  179 Hf  8038.5474
73  179 Ta  8033.5869
74  179 W   8023.2821
75  179 Re  8003.7666
76  179 Os  7979.4844
77  179 Ir  7947.5248
78  179 Pt  7910.6759
79  179 Au  7865.6374
80  179 Hg  7816.2631
81  179 Tl  7763.4942
82  179 Pb  7701.463
68  180 Er  7960#
69  180 Tm  7983#
70  180 Yb  8016#
71  180 Lu  8022.0394
72  180 Hf  8034.9319
73  180 Ta  8025.8864
74  180 W   8025.4434
75  180 Re  7999.9922
76  180 Os  7987.4171
77  180 Ir  7947.6337
78  180 Pt  7923.5781
79  180 Au  7870.3194
80  180 Hg  7836.1111
81  180 Tl  7771.431
82  180 Pb  7725.6993
69  181 Tm  7969#
70  181 Yb  7996#
71  181 Lu  8011.9301
72  181 Hf  8022.003
73  181 Ta  8023.405
74  181 W   8017.9494
75  181 Re  8004.1434
76  181 Os  7983.4263
77  181 Ir  7956.5242
78  181 Pt  7924.1271
79  181 Au  7883.8359
80  181 Hg  7839.6792
81  181 Tl  7791.9183
82  181 Pb  7734.0704
69  182 Tm  7948#
70  182 Yb  7984#
71  182 Lu  7996#
72  182 Hf  8014.8381
73  182 Ta  8012.6332
74  182 W   8018.3096
75  182 Re  7998.6264
76  182 Os  7989.7287
77  182 Ir  7954.8948
78  182 Pt  7934.7541
79  182 Au  7887.2442
80  182 Hg  7856.9726
81  182 Tl  7796.3571
82  182 Pb  7756.3296
70  183 Yb  7963#
71  183 Lu  7984.8125
72  183 Hf  8000.0315
73  183 Ta  8006.74
74  183 W   8008.3234
75  183 Re  8001.0101
76  183 Os  7985.0087
77  183 Ir  7961.8176
78  183 Pt  7933.3406
79  183 Au  7898.5644
80  183 Hg  7859.3885
81  183 Tl  7815.6741
82  183 Pb  7762.179
70  184 Yb  7951#
71  184 Lu  7967#
72  184 Hf  7990.7228
73  184 Ta  7993.7535
74  184 W   8005.0777
75  184 Re  7992.7517
76  184 Os  7988.6778
77  184 Ir  7959.1992
78  184 Pt  7942.5649
79  184 Au  7900.1947
80  184 Hg  7874.3454
81  184 Tl  7818.6727
82  184 Pb  7782.7264
83  184 Bi  7712#
70  185 Yb  7929#
71  185 Lu  7955#
72  185 Hf  7973.9711
73  185 Ta  7986.3615
74  185 W   7992.9083
75  185 Re  7991.0101
76  185 Os  7981.3047
77  185 Ir  7963.7226
78  185 Pt  7939.7779
79  185 Au  7909.441
80  185 Hg  7874.5391
81  185 Tl  7835.5756
82  185 Pb  7786.933
83  185 Bi  7732#
71  186 Lu  7936#
72  186 Hf  7964.3032
73  186 Ta  7971.8357
74  186 W   7988.6026
75  186 Re  7981.2713
76  186 Os  7982.8324
77  186 Ir  7958.0473
78  186 Pt  7946.8094
79  186 Au  7909.5409
80  186 Hg  7888.2605
81  186 Tl  7837.5161
82  186 Pb  7805.342
83  186 Bi  7739.1175
84  186 Po  7695.9488
71  187 Lu  7923#
72  187 Hf  7947#
73  187 Ta  7963.2123
74  187 W   7975.1168
75  187 Re  7977.9519
76  187 Os  7973.7814
77  187 Ir  7960.6692
78  187 Pt  7941.1699
79  187 Au  7917.4323
80  187 Hg  7886.9905
81  187 Tl  7852.465
82  187 Pb  7808.401
83  187 Bi  7758.2083
84  187 Po  7704.7889
71  188 Lu  7903#
72  188 Hf  7936#
73  188 Ta  7948#
74  188 W   7969.0532
75  188 Re  7966.7481
76  188 Os  7973.8656
77  188 Ir  7954.8512
78  188 Pt  7947.9027
79  188 Au  7914.7537
80  188 Hg  7899.034
81  188 Tl  7853.0537
82  188 Pb  7824.8211
83  188 Bi  7764.1904
84  188 Po  7724.6544
72  189 Hf  7917#
73  189 Ta  7938#
74  189 W   7954#
75  189 Re  7961.8105
76  189 Os  7963.0029
77  189 Ir  7956.0214
78  189 Pt  7941.4045
79  189 Au  7921.9876
80  189 Hg  7896.9192
81  189 Tl  7866.2704
82  189 Pb  7826.2999
83  189 Bi  7780.9999
84  189 Po  7731.1321
72  190 Hf  7905#
73  190 Ta  7922#
74  190 W   7947.5031
75  190 Re  7949.7759
76  190 Os  7962.1047
77  190 Ir  7947.7017
78  190 Pt  7946.4941
79  190 Au  7918.8345
80  190 Hg  7907.0174
81  190 Tl  7866.0345
82  190 Pb  7841.1294
83  190 Bi  7785.3239
84  190 Po  7749.4526
73  191 Ta  7911#
74  191 W   7931.4359
75  191 Re  7943.9588
76  191 Os  7950.5687
77  191 Ir  7948.1144
78  191 Pt  7938.7279
79  191 Au  7924.6819
80  191 Hg  7903.8002
81  191 Tl  7877.1445
82  191 Pb  7841.6782
83  191 Bi  7800.6613
84  191 Po  7753.7871
85  191 At  7702.9233
73  192 Ta  7894#
74  192 W   7924#
75  192 Re  7930.2389
76  192 Os  7948.526
77  192 Ir  7938.9999
78  192 Pt  7942.4923
79  192 Au  7920.1033
80  192 Hg  7912.0666
81  192 Tl  7876.0167
82  192 Pb  7854.6482
83  192 Bi  7803.6084
84  192 Po  7771.0542
85  192 At  7709.7283
73  193 Ta  7883#
74  193 W   7907#
75  193 Re  7923.9378
76  193 Os  7936.2716
77  193 Ir  7938.1346
78  193 Pt  7933.7875
79  193 Au  7924.1648
80  193 Hg  7907.973
81  193 Tl  7885.3445
82  193 Pb  7854.0994
83  193 Bi  7817.1718
84  193 Po  7773.951
85  193 At  7727.1099
86  193 Rn  7675.853
73  194 Ta  7865#
74  194 W   7899#
75  194 Re  7909#
76  194 Os  7932.0232
77  194 Ir  7928.4885
78  194 Pt  7935.942
79  194 Au  7918.7744
80  194 Hg  7914.5974
81  194 Tl  7883.5211
82  194 Pb  7865.4181
83  194 Bi  7819.1955
84  194 Po  7789.2947
85  194 At  7732.2304
86  194 Rn  7694.9961
74  195 W   7881#
75  195 Re  7901#
76  195 Os  7917.7449
77  195 Ir  7924.916
78  195 Pt  7926.553
79  195 Au  7921.3778
80  195 Hg  7909.398
81  195 Tl  7890.7293
82  195 Pb  7864.0647
83  195 Bi  7830.7579
84  195 Po  7791.3155
85  195 At  7748.0914
86  195 Rn  7700.3841
74  196 W   7872#
75  196 Re  7886#
76  196 Os  7912.2301
77  196 Ir  7914.1487
78  196 Pt  7926.5297
79  196 Au  7914.8553
80  196 Hg  7914.37
81  196 Tl  7888.29
82  196 Pb  7873.3374
83  196 Bi  7831.9009
84  196 Po  7804.7445
85  196 At  7752.0001
86  196 Rn  7717.966
74  197 W   7853#
75  197 Re  7877#
76  197 Os  7897#
77  197 Ir  7909.0003
78  197 Pt  7915.9714
79  197 Au  7915.6548
80  197 Hg  7908.6402
81  197 Tl  7893.5725
82  197 Pb  7871.2822
83  197 Bi  7841.6348
84  197 Po  7805.7136
85  197 At  7766.0174
86  197 Rn  7722.119
87  197 Fr  7673.764
75  198 Re  7861#
76  198 Os  7890#
77  198 Ir  7897#
78  198 Pt  7914.1512
79  198 Au  7908.5675
80  198 Hg  7911.5532
81  198 Tl  7890.3011
82  198 Pb  7878.9695
83  198 Bi  7841.2123
84  198 Po  7817.5611
85  198 At  7769.3446
86  198 Rn  7737.7245
87  198 Fr  7679.1873
75  199 Re  7850#
76  199 Os  7874#
77  199 Ir  7891.2066
78  199 Pt  7902.3011
79  199 Au  7906.9379
80  199 Hg  7905.2794
81  199 Tl  7893.8773
82  199 Pb  7875.7366
83  199 Bi  7849.5232
84  199 Po  7817.6582
85  199 At  7781.4883
86  199 Rn  7741.0568
87  199 Fr  7695.2599
76  200 Os  7867#
77  200 Ir  7878#
78  200 Pt  7899.1986
79  200 Au  7898.4915
80  200 Hg  7905.8956
81  200 Tl  7889.7037
82  200 Pb  7881.8101
83  200 Bi  7848.4969
84  200 Po  7827.4407
85  200 At  7783.7601
86  200 Rn  7754.9111
87  200 Fr  7700.3292
76  201 Os  7849#
77  201 Ir  7870#
78  201 Pt  7885.8337
79  201 Au  7895.1752
80  201 Hg  7897.5607
81  201 Tl  7891.2717
82  201 Pb  7877.8782
83  201 Bi  7854.8713
84  201 Po  7826.5619
85  201 At  7794.1536
86  201 Rn  7757.0174
87  201 Fr  7714.8367
88  201 Ra  7669.4108
76  202 Os  7839#
77  202 Ir  7855#
78  202 Pt  7881.5609
79  202 Au  7885.91
80  202 Hg  7896.8505
81  202 Tl  7886.2206
82  202 Pb  7882.1505
83  202 Bi  7852.5857
84  202 Po  7834.8053
85  202 At  7794.5637
86  202 Rn  7769.3018
87  202 Fr  7719.0125
88  202 Ra  7685.5684
76  203 Os  7814#
77  203 Ir  7845#
78  203 Pt  7867#
79  203 Au  7880.865
80  203 Hg  7887.4828
81  203 Tl  7886.053
82  203 Pb  7877.397
83  203 Bi  7857.4762
84  203 Po  7832.8632
85  203 At  7803.6487
86  203 Rn  7770.3437
87  203 Fr  7731.7092
88  203 Ra  7689.8015
77  204 Ir  7823#
78  204 Pt  7859#
79  204 Au  7868#
80  204 Hg  7885.5455
81  204 Tl  7880.0238
82  204 Pb  7879.9326
83  204 Bi  7854.2157
84  204 Po  7839.0823
85  204 At  7803.5522
86  204 Rn  7780.5743
87  204 Fr  7734.6931
88  204 Ra  7704.1238
77  205 Ir  7805#
78  205 Pt  7836#
79  205 Au  7860#
80  205 Hg  7874.7325
81  205 Tl  7878.3946
82  205 Pb  7874.3313
83  205 Bi  7857.3218
84  205 Po  7836.2168
85  205 At  7810.2694
86  205 Rn  7780.7226
87  205 Fr  7745.687
88  205 Ra  7707.1698
89  205 Ac  7662.8519
78  206 Pt  7820#
79  206 Au  7840#
80  206 Hg  7869.1723
81  206 Tl  7871.7219
82  206 Pb  7875.362
83  206 Bi  7853.3249
84  206 Po  7840.5973
85  206 At  7808.8904
86  206 Rn  7789.0417
87  206 Fr  7746.9621
88  206 Ra  7719.8028
89  206 Ac  7667.8538
78  207 Pt  7797#
79  207 Au  7824#
80  207 Hg  7848.6112
81  207 Tl  7866.7979
82  207 Pb  7869.8664
83  207 Bi  7854.5053
84  207 Po  7836.6734
85  207 At  7813.9653
86  207 Rn  7787.9987
87  207 Fr  7756.2689
88  207 Ra  7721.7503
89  207 Ac  7681.1001
78  208 Pt  7780#
79  208 Au  7803#
80  208 Hg  7834.1914
81  208 Tl  7847.1835
82  208 Pb  7867.453
83  208 Bi  7849.8534
84  208 Po  7839.3568
85  208 At  7811.5604
86  208 Rn  7794.2678
87  208 Fr  7756.8985
88  208 Ra  7732.0177
89  208 Ac  7684.8289
90  208 Th  7652.5716
79  209 Au  7786#
80  209 Hg  7813#
81  209 Tl  7833.3979
82  209 Pb  7848.6488
83  209 Bi  7847.9869
84  209 Po  7835.1882
85  209 At  7814.7835
86  209 Rn  7792.1755
87  209 Fr  7763.7485
88  209 Ra  7733.0177
89  209 Ac  7695.8455
90  209 Th  7656#
79  210 Au  7764#
80  210 Hg  7799#
81  210 Tl  7813.589
82  210 Pb  7835.9656
83  210 Bi  7832.5424
84  210 Po  7834.3462
85  210 At  7811.6638
86  210 Rn  7796.6653
87  210 Fr  7763.1243
88  210 Ra  7741.3687
89  210 Ac  7698.0182
90  210 Th  7669.0764
80  211 Hg  7777#
81  211 Tl  7799.7915
82  211 Pb  7817.0079
83  211 Bi  7819.7745
84  211 Po  7818.7842
85  211 At  7811.3545
86  211 Rn  7793.9412
87  211 Fr  7768.3613
88  211 Ra  7741.0887
89  211 Ac  7707.468
90  211 Th  7671.8506
91  211 Pa  7629.3948
80  212 Hg  7762#
81  212 Tl  7780#
82  212 Pb  7804.3203
83  212 Bi  7803.314
84  212 Po  7810.2438
85  212 At  7798.34
86  212 Rn  7794.7963
87  212 Fr  7766.8455
88  212 Ra  7747.5078
89  212 Ac  7708.4479
90  212 Th  7682.0628
91  212 Pa  7633.6289
80  213 Hg  7739#
81  213 Tl  7765.4311
82  213 Pb  7785.1732
83  213 Bi  7791.0217
84  213 Po  7794.024
85  213 At  7790.0036
86  213 Rn  7782.1824
87  213 Fr  7768.4543
88  213 Ra  7746.4726
89  213 Ac  7715.5908
90  213 Th  7683.847
91  213 Pa  7644.8027
80  214 Hg  7724#
81  214 Tl  7745#
82  214 Pb  7772.3955
83  214 Bi  7773.4955
84  214 Po  7785.1163
85  214 At  7776.3632
86  214 Rn  7777.1023
87  214 Fr  7757.7393
88  214 Ra  7749.1719
89  214 Ac  7715.8874
90  214 Th  7692.3173
91  214 Pa  7647.7037
80  215 Hg  7701#
81  215 Tl  7730#
82  215 Pb  7752.7381
83  215 Bi  7761.7177
84  215 Po  7768.1768
85  215 At  7767.8627
86  215 Rn  7763.8164
87  215 Fr  7753.2607
88  215 Ra  7739.3249
89  215 Ac  7719.4137
90  215 Th  7693.0266
91  215 Pa  7657.3733
92  215 U   7620.7821
80  216 Hg  7685#
81  216 Tl  7709#
82  216 Pb  7740#
83  216 Bi  7743.4996
84  216 Po  7758.8205
85  216 At  7753.0024
86  216 Rn  7758.6553
87  216 Fr  7742.4513
88  216 Ra  7737.3458
89  216 Ac  7711.2319
90  216 Th  7697.6617
91  216 Pa  7659.2006
92  216 U   7631.3072
81  217 Tl  7693#
82  217 Pb  7719#
83  217 Bi  7731.8491
84  217 Po  7741.3614
85  217 At  7744.6172
86  217 Rn  7744.4037
87  217 Fr  7737.775
88  217 Ra  7726.9122
89  217 Ac  7710.3448
90  217 Th  7690.5945
91  217 Pa  7664.6438
92  217 U   7634#
81  218 Tl  7672#
82  218 Pb  7705#
83  218 Bi  7712.828
84  218 Po  7731.53
85  218 At  7729.1175
86  218 Rn  7738.7527
87  218 Fr  7726.7143
88  218 Ra  7725.0241
89  218 Ac  7702.145
90  218 Th  7691.6026
91  218 Pa  7659.1935
92  218 U   7640.7191
82  219 Pb  7684#
83  219 Bi  7700#
84  219 Po  7713.334
85  219 At  7720.197
86  219 Rn  7723.7784
87  219 Fr  7721.1759
88  219 Ra  7714.056
89  219 Ac  7700.5489
90  219 Th  7683.7655
91  219 Pa  7661.3783
92  219 U   7636.2867
93  219 Np  7604.6732
82  220 Pb  7670#
83  220 Bi  7681#
84  220 Po  7703.2244
85  220 At  7703.7033
86  220 Rn  7717.2552
87  220 Fr  7709.743
88  220 Ra  7711.6879
89  220 Ac  7692.3515
90  220 Th  7684.4964
91  220 Pa  7655.5364
92  220 U   7640#
93  220 Np  7602.0758
83  221 Bi  7668#
84  221 Po  7684.4814
85  221 At  7694.4754
86  221 Rn  7701.3941
87  221 Fr  7703.2572
88  221 Ra  7701.1352
89  221 Ac  7690.5039
90  221 Th  7676.064
91  221 Pa  7656.9809
92  221 U   7634.6849
93  221 Np  7607#
94  221 Pu  7576#
83  222 Bi  7648#
84  222 Po  7674.0054
85  222 At  7677.3878
86  222 Rn  7694.4991
87  222 Fr  7690.9474
88  222 Ra  7696.6931
89  222 Ac  7682.8015
90  222 Th  7676.6592
91  222 Pa  7651.2373
92  222 U   7637.7651
93  222 Np  7602.7013
94  222 Pu  7582#
83  223 Bi  7636#
84  223 Po  7655#
85  223 At  7668.0557
86  223 Rn  7678.172
87  223 Fr  7683.6655
88  223 Ra  7685.3101
89  223 Ac  7679.1479
90  223 Th  7668.6426
91  223 Pa  7651.8957
92  223 U   7631.7611
93  223 Np  7607.5654
94  223 Pu  7580#
95  223 Am  7547#
83  224 Bi  7616#
84  224 Po  7644#
85  224 At  7650.7354
86  224 Rn  7670.7514
87  224 Fr  7670.368
88  224 Ra  7679.9236
89  224 Ac  7670.1438
90  224 Th  7667.7162
91  224 Pa  7646.9612
92  224 U   7635.0742
93  224 Np  7603.5032
94  224 Pu  7586#
95  224 Am  7546#
84  225 Po  7626#
85  225 At  7641#
86  225 Rn  7654.3581
87  225 Fr  7662.9412
88  225 Ra  7667.5866
89  225 Ac  7665.6906
90  225 Th  7659.2229
91  225 Pa  7646.6504
92  225 U   7629.7717
93  225 Np  7607.4231
94  225 Pu  7583#
95  225 Am  7553#
84  226 Po  7614#
85  226 At  7624#
86  226 Rn  7646.4108
87  226 Fr  7648.3768
88  226 Ra  7661.9636
89  226 Ac  7655.6628
90  226 Th  7657.1195
91  226 Pa  7641.1093
92  226 U   7631.9166
93  226 Np  7604.1714
94  226 Pu  7588#
95  226 Am  7552#
84  227 Po  7596#
85  227 At  7613#
86  227 Rn  7630.0508
87  227 Fr  7640.7162
88  227 Ra  7648.3048
89  227 Ac  7650.7084
90  227 Th  7647.4591
91  227 Pa  7639.4945
92  227 U   7626.2918
93  227 Np  7607.2771
94  227 Pu  7585#
95  227 Am  7558#
85  228 At  7596#
86  228 Rn  7621.6457
87  228 Fr  7626.3689
88  228 Ra  7642.4289
89  228 Ac  7639.1973
90  228 Th  7645.0807
91  228 Pa  7632.2076
92  228 U   7627.4763
93  228 Np  7604#
94  228 Pu  7590.4039
95  228 Am  7557#
85  229 At  7585#
86  229 Rn  7605.6227
87  229 Fr  7618.338
88  229 Ra  7628.4862
89  229 Ac  7633.2446
90  229 Th  7634.651
91  229 Pa  7629.8752
92  229 U   7620.7218
93  229 Np  7605.9921
94  229 Pu  7586.8834
95  229 Am  7562.5697
86  230 Rn  7595#
87  230 Fr  7603.7052
88  230 Ra  7621.9144
89  230 Ac  7621.4604
90  230 Th  7630.9974
91  230 Pa  7621.8958
92  230 U   7620.9227
93  230 Np  7601.7751
94  230 Pu  7591.0016
95  230 Am  7562#
86  231 Rn  7579#
87  231 Fr  7594.5009
88  231 Ra  7607.8418
89  231 Ac  7615.0768
90  231 Th  7620.1188
91  231 Pa  7618.4267
92  231 U   7613.3879
93  231 Np  7602.1321
94  231 Pu  7587.1224
95  231 Am  7566#
96  231 Cm  7542#
87  232 Fr  7579.3481
88  232 Ra  7600.0099
89  232 Ac  7602.4245
90  232 Th  7615.0338
91  232 Pa  7609.5072
92  232 U   7611.8984
93  232 Np  7597#
94  232 Pu  7588.9839
95  232 Am  7564#
96  232 Cm  7548#
87  233 Fr  7569.2398
88  233 Ra  7585.5644
89  233 Ac  7595.1939
90  233 Th  7602.8937
91  233 Pa  7604.8675
92  233 U   7603.9574
93  233 Np  7596.1816
94  233 Pu  7583.7968
95  233 Am  7567#
96  233 Cm  7546.002
97  233 Bk  7519#
88  234 Ra  7576.5439
89  234 Ac  7582.1297
90  234 Th  7596.8557
91  234 Pa  7594.6837
92  234 U   7600.716
93  234 Np  7589.6382
94  234 Pu  7584.6061
95  234 Am  7564#
96  234 Cm  7550.6868
97  234 Bk  7519#
88  235 Ra  7561#
89  235 Ac  7573.5051
90  235 Th  7584.3862
91  235 Pa  7588.4139
92  235 U   7590.9151
93  235 Np  7587.0571
94  235 Pu  7578.8799
95  235 Am  7565.1582
96  235 Cm  7547#
97  235 Bk  7524#
89  236 Ac  7559.2423
90  236 Th  7576.9688
91  236 Pa  7577.5573
92  236 U   7586.4854
93  236 Np  7579.2148
94  236 Pu  7577.9192
95  236 Am  7561#
96  236 Cm  7550.309
97  236 Bk  7523#
89  237 Ac  7550#
90  237 Th  7563.4433
91  237 Pa  7570.3847
92  237 U   7576.1026
93  237 Np  7574.9895
94  237 Pu  7570.7599
95  237 Am  7561#
96  237 Cm  7546.6241
97  237 Bk  7527#
98  237 Cf  7503.3507
90  238 Th  7555#
91  238 Pa  7558.3449
92  238 U   7570.1262
93  238 Np  7566.222
94  238 Pu  7568.3611
95  238 Am  7555.5853
96  238 Cm  7547.9966
97  238 Bk  7525#
98  238 Cf  7509#
90  239 Th  7540#
91  239 Pa  7550#
92  239 U   7558.5624
93  239 Np  7560.568
94  239 Pu  7560.3187
95  239 Am  7553.6891
96  239 Cm  7543.0659
97  239 Bk  7527#
98  239 Cf  7507#
99  239 Es  7481#
91  240 Pa  7537#
92  240 U   7551.7705
93  240 Np  7550.1743
94  240 Pu  7556.0433
95  240 Am  7547.0136
96  240 Cm  7542.8617
97  240 Bk  7523#
98  240 Cf  7510.24
99  240 Es  7481#
91  241 Pa  7528#
92  241 U   7539#
93  241 Np  7544.0426
94  241 Pu  7546.4395
95  241 Am  7543.2795
96  241 Cm  7536.8488
97  241 Bk  7524#
98  241 Cf  7507#
99  241 Es  7485#
100 241 Fm  7459#
92  242 U   7532#
93  242 Np  7533.4042
94  242 Pu  7541.3284
95  242 Am  7534.9917
