Q2,xBj,sigma_theory
6.5,0.00013,1.0883581760251442
6.5,0.0002,1.0643558244360107
6.5,0.00032,1.025304487998125
6.5,0.0005,0.9714949977083264
6.5,0.0008,0.8936811356370932
6.5,0.0013,0.7931382118056284
6.5,0.002,0.7013069277909693
6.5,0.0032,0.6233602287489093
6.5,0.005,0.5559637385724655
6.5,0.013,0.49092754897199664
6.5,0.02,0.49623563406469645
8.5,9.86e-05,1.1803283416839805
8.5,0.000105,1.2075828762296008
8.5,0.000112,1.220938413142437
8.5,0.000124,1.218702117673504
8.5,0.000129,1.2134835887737097
8.5,0.000139,1.2030319778650822
8.5,0.0002,1.1544793627344372
8.5,0.00032,1.1060410716011178
8.5,0.0005,1.0543657244341367
8.5,0.0008,0.9754476338679671
8.5,0.0013,0.8631823808724238
8.5,0.002,0.7440376267967762
8.5,0.0032,0.6324527570713375
8.5,0.005,0.6460132446952902
8.5,0.02,0.4559128825582109
10.0,0.00032,1.1133857690618736
10.0,0.0005,1.0680922457571769
10.0,0.0008,0.9982211154402582
10.0,0.0013,0.896809968873749
10.0,0.002,0.7846037533867842
10.0,0.005,0.6299033251495474
10.0,0.02,0.5129838223306115
12.0,0.000139,1.293375717783306
12.0,0.000161,1.2859059190941817
12.0,0.000182,1.2788248810244813
12.0,0.0002,1.2727936020166957
12.0,0.00032,1.2334805438956196
12.0,0.0005,1.177396791784945
12.0,0.0008,1.0914475010966063
12.0,0.0013,0.9683175981830686
12.0,0.002,0.8356781327878364
12.0,0.0032,0.7052794732155472
12.0,0.005,0.6996197558113444
12.0,0.02,0.48988008330638405
15.0,0.000174,1.3509233940145524
15.0,0.0002,1.3383226081975323
15.0,0.000228,1.3251303956482854
15.0,0.00032,1.2844331139242446
15.0,0.0005,1.2155472909068412
15.0,0.0008,1.1266794922757581
15.0,0.0013,1.0237656243855717
15.0,0.002,0.9114758430411438
15.0,0.0032,0.7684721639427008
15.0,0.005,0.6542187928188914
15.0,0.008,0.6577590217933117
15.0,0.02,0.5282722590511618
18.0,0.000209,1.3760961881090419
18.0,0.000237,1.3656038789074756
18.0,0.000268,1.3542519565205768
18.0,0.000328,1.3330459565662578
18.0,0.0005,1.2774569254812906
18.0,0.0008,1.1961372375947215
18.0,0.0013,1.0902263387299653
18.0,0.002,0.9695244765573481
18.0,0.0032,0.8151711914337811
18.0,0.005,0.6901491980518781
18.0,0.008,0.68802217589982
18.0,0.02,0.5353144761478378
