Q2,xBj,sigma,d stat,d uncor,d cor,d rel,d p,d had,d 1,d 2,d 3,d 4,d tot
0.35,0.165x10-4,0.313,1.21,0.63,1.88,1.19,0.63,0.06,0.52,0,0,0.01,2.74
0.35,0.320x10-4,0.296,1.14,0.72,2.54,2.55,0.72,-0.77,1.05,-0.01,-0.02,0.01,4.12
0.35,0.662x10-4,0.282,2.62,1.5,1.72,0.42,0.42,-0.06,1.19,0,0.01,0.01,3.72
0.35,0.130x10-3,0.257,2.53,1.43,1.54,0.81,0.59,-0.11,0.7,0,0,0.02,3.5
0.35,0.220x10-3,0.24,2.67,1.5,2.01,1.13,0.53,-0.31,0.14,0,0,0.01,3.88
0.35,0.500x10-3,0.24,2.52,1.42,1.81,1.49,0.44,-0.46,0.28,0,0,0.01,3.79
0.35,0.251x10-2,0.201,10,4.55,1.54,0.55,-0.32,-0.44,0.34,0,0.02,0.04,11.12
0.4,0.133x10-4,0.355,1.97,0.88,2.04,1.36,0.67,-0.31,0.64,0,0,0.01,3.42
0.4,0.170x10-4,0.354,1.66,0.83,1.87,1.15,0.61,-0.05,0.29,0,0.01,0.01,2.96
0.4,0.220x10-4,0.334,1.45,0.78,1.86,1.28,0.64,-0.34,0.38,0,0,0.01,2.91
0.4,0.368x10-4,0.33,1.26,0.77,2.52,2.58,0.65,-0.84,1.12,-0.01,-0.02,0.01,4.19
0.4,0.883x10-4,0.32,2.72,1.5,1.57,1.03,0.48,-0.23,0.41,0,0,0.01,3.69
0.4,0.176x10-3,0.287,2.79,1.5,1.76,0.68,0.49,-0.16,0.22,0,0.01,0.01,3.73
0.4,0.294x10-3,0.277,2.75,1.5,1.66,1.03,0.47,-0.3,0.74,0,0,0.01,3.81
0.4,0.631x10-3,0.26,2.74,1.5,2.06,1.33,0.43,-0.32,0.54,0,0,0.01,4.04
0.5,0.732x10-5,0.428,5.55,5.74,4.16,-0.02,4.04,0.31,1.9,-0.05,-0.01,0.05,10.05
0.5,0.158x10-4,0.426,3.53,1.48,2.38,1.22,0.46,-0.2,0.7,0,0,0,4.75
0.5,0.212x10-4,0.39,2.06,0.8,2.01,1.07,0.58,0.21,0.33,0,0,0.01,3.25
0.5,0.276x10-4,0.377,1.71,0.76,2,1.38,0.64,-0.18,0.31,0,0,0.01,3.15
0.5,0.398x10-4,0.364,1.48,0.81,2.6,2.64,0.85,-0.97,1.03,-0.01,-0.01,0.01,4.4
0.5,0.100x10-3,0.348,1.74,1.45,1.57,0.65,0.54,-0.07,0.73,0,0.01,0.01,2.98
0.5,0.251x10-3,0.308,1.87,1.43,1.62,0.36,0.38,0.01,0.02,0,0.01,0.01,2.91
0.5,0.368x10-3,0.3,2.03,1.5,1.68,0.83,0.43,-0.12,0.35,0,0,0.01,3.19
0.5,0.800x10-3,0.287,2.05,1.38,1.54,0.98,0.37,-0.27,0.09,0,0,0.01,3.11
0.5,0.320x10-2,0.182,11.38,6.39,1.3,0.38,-0.4,-0.77,-0.48,-0.01,0.01,0.08,13.16
0.65,0.952x10-5,0.464,4.02,2.9,2.57,0.22,2.36,-0.1,1.52,-0.04,0,0.04,6.25
0.65,0.158x10-4,0.462,3.1,5.44,1.56,0.4,0.34,-0.41,0.15,-0.02,0.01,0.05,6.48
0.65,0.398x10-4,0.472,2.73,0.68,2.37,1.26,0.55,0.15,0.46,0,0,0,3.96
0.65,0.598x10-4,0.416,1.99,0.74,3.16,2.93,0.6,-0.67,1.56,0,-0.01,0.01,5.13
0.65,0.100x10-3,0.409,2.09,1.47,2.04,0.93,0.66,-0.19,1.59,0,0,0.01,3.81
0.65,0.251x10-3,0.361,2.14,1.39,1.69,0.88,0.32,-0.32,1.13,0,0,0.01,3.41
0.65,0.478x10-3,0.332,2.29,1.5,1.93,0.88,0.43,-0.36,0.94,0,0,0.01,3.63
0.65,0.800x10-3,0.318,2.14,1.35,1.64,0.71,0.23,-0.39,0.56,0,0.01,0.03,3.18
0.65,0.320x10-2,0.224,5.82,3.18,1.27,0.39,-0.1,-0.56,0.54,0,0.02,0.06,6.81
0.85,0.124x10-4,0.552,2.57,2.52,2.21,0.27,1.92,0.02,1.03,-0.04,0,0.04,4.76
0.85,0.200x10-4,0.611,1.96,5.36,1.63,0.49,-0.13,-0.4,-0.04,-0.02,0.01,0.05,5.97
0.85,0.398x10-4,0.558,2.03,1.86,1.77,0.44,-0.45,-0.39,-1.05,-0.01,0,0.03,3.51
0.85,0.500x10-4,0.541,2.93,4.52,2.36,0.62,-0.28,-0.09,-0.25,0,0.01,0.06,5.93
0.85,0.100x10-3,0.503,2.65,3.78,3.73,0.43,-1.31,0.49,-0.55,-0.05,0,0.03,6.14
0.85,0.251x10-3,0.397,6.01,2.98,2.33,0.38,-0.76,-0.54,0.96,-0.02,0.02,0.04,7.23
0.85,0.800x10-3,0.349,4.61,2.67,1.46,0.55,-0.41,-0.28,-0.85,-0.01,0.02,0.07,5.64
0.85,0.320x10-2,0.308,4.54,2.83,1.04,0.39,-0.21,-0.15,-0.67,0,0.02,0.08,5.51
1.2,0.176x10-4,0.592,2.56,2.16,2.53,0.31,1.55,0.01,0.67,-0.07,-0.01,0.03,4.54
1.2,0.200x10-4,0.667,2.63,2.51,1.36,0.37,0.49,-0.41,0.47,-0.02,0.01,0.04,3.98
